annotation_ref;uncertain;bird;behaviour;location;others;association;notes
419;;T97;perched, looking around;11;;;
420;;T97;flying away;11;;;
421;;S25;perched, calls in background;d tree;alone;;
422;;P58;perched;29;;;
423;;P58;flying away with stick;d tree;;;
424;;L80;;;;;
425;;L80;perched, reponse to flying away calls?;29A1;C54;same nest;
426;;C54;perched;29A1;;;
427;;C54;perched, calls in background;29A1;;;
428;;C54;perched, other bird arriving;29A1;L80;arriving;
429;;L80;perched;29A1;C54;same nest;
430;;C54;perched, call response to partner?;29A1;L80;same nest;
431;;L80;flying away;29A1;C54;following;
432;;I98;flying away;d tree;H37, un;same tree;
433;1;H37;flying away;d tree;un;flying away together;
434;;I98;perched;d tree;alone;;
435;;I98;perched, just before it flew away;d tree;alone;;
436;;K64;flying away;d tree;;;
437;;K64;perched;d tree;;;
438;;I80;flying down;;;;
439;;R20;perched;d tree;S58, E41;same tree;
440;1;R20;perched;d tree;S58, E41;same tree;
441;;R20;perched, calls in background;d tree;S58, E41;same tree;
442;;R20;flying away;d tree;S58, E41;same tree;
443;;S54;perched;d tree;;;
444;;S54;perched, calls in background;d tree;;;
445;;H86;foraging;d tree;un, un;same tree;
446;;J43;perched at nest, call response;18A1;UK ;in nest;
447;;P76;perched, reponse to flying by;d tree;S32;touching;
448;;P76;flying away;d tree;S32, stump, un;following;
449;;I52;perched;d tree;alone;;
450;;I52;perched, call response;d tree;alone;;maybe I65 sitting on grass closeby
451;;I52;perched, calls in background;d tree;alone;;maybe I65 sitting on grass closeby
452;;D39;perched;d tree;;;
453;;S38;perched, close to foraging flock;d tree;alone;;
454;;T96;foraging, calls in background;grass;;;
455;;K41;perched;d tree;alone;;
456;;K49;in nest;71A1;un;outside nest;
457;;K49;leaving nest;71A1;un;outside nest;
458;;E41;perched;d tree;alone;;
459;;T55;perched, calls in background;d tree;;;
460;;T55;flying between trees;d tree;;;
461;;I87;perched, calls in background;d tree;;;
462;;G32;perched;24C;;;
463;;I87;perched;24;;;
464;;G73;perched, calls in background;d tree;alone;;
465;;J21;perched;d tree;H43;same tree;
466;;J71;perched at nest;28F1;;;
467;;J71;perched at nest, calls in background;28F1;;;
468;;J71;perched at nest, call response;28F1;;;
469;;S21;perched;d tree;un, un, un, un, S43, J78;same tree;
470;;J02;perched, call response;25;;;
471;;J02;perched, calls in background;25;;;
472;;I87;perched, calls in background;24;;;
473;;S57;perched;24E;;;
474;;S57;perched, calls in background;24E;S17, P69 ;same nest;
475;;D86;perched, call response;14A;;;
476;;D86;flying away;14A;;;
477;;T81;jumping up, stick in mouth;19A;;;
478;;R87;perched, call response;;;;
479;;S07;in nest;13A1;;;
480;;S07;in nest, chatter;13A1;;;
481;;S07;in nest, calls in background;13A1;UK;growling in response;
482;;S07;in nest, call response;13A1;;;
483;;I80;perched, call response;d tree;T03;same tree;
484;;I80;perched;d tree;T03;same tree;
